id,reference_id,color,material,category_name,parent_id,image
21,892,绿,绿幽灵,【绿】绿幽灵,831,https://aurayou2.lot-lot.com/image/32/2024/12/fecca7a872aed2c4a0dda4a3de059a63.jpg
22,894,绿,葡萄石,【绿】葡萄石,831,https://aurayou2.lot-lot.com/image/32/2024/12/30ab92322aeb97ed1ab93116d5a20cb3.jpg
23,930,绿,绿水晶,【绿】绿水晶,831,https://aurayou2.lot-lot.com/image/32/2025/01/ba2c08cd9f6cc595311081966a83242a.jpg
24,890,绿,绿萤石,【绿】绿萤石,831,https://aurayou2.lot-lot.com/image/32/2024/12/12e9c74bcf0989862a930b687f1fd089.jpg
25,1691,绿,绿发晶,【绿】绿发晶,831,https://aurayou2.lot-lot.com/image/32/2025/07/87b2be0f9c63af91028f7932519b036d.jpg
26,889,绿,岫玉,【绿】岫玉,831,https://aurayou2.lot-lot.com/image/32/2024/12/3d27783ebe9b3d8469d509655e921fcb.jpg
27,932,绿,天河石,【绿】天河石,831,https://aurayou2.lot-lot.com/image/32/2025/01/05662c985781542a9afb32648700b119.jpg
28,895,蓝,海蓝宝,【蓝】海蓝宝,831,https://aurayou2.lot-lot.com/image/32/2024/12/fac404f8035a214897ff3c1557494f7a.jpg
29,896,蓝,蓝玉髓,【蓝】蓝玉髓,831,https://aurayou2.lot-lot.com/image/32/2024/12/88407affff2ac65f02859eb4d4c72cfd.jpg
30,897,蓝,蓝晶石,【蓝】蓝晶石,831,https://aurayou2.lot-lot.com/image/32/2024/12/09295b56b7fc172dea206dd5119ea072.jpg
31,920,蓝,蓝月光,【蓝】蓝月光,831,https://aurayou2.lot-lot.com/image/32/2024/12/4c1257ac9ce652b7d7b40a90d110e7d9.jpg
32,900,蓝,拉长石,【蓝】拉长石,831,https://aurayou2.lot-lot.com/image/32/2024/12/b8af94cccc706e209a444d2327578e00.jpg
33,901,紫,紫水晶,【紫】紫水晶,831,https://aurayou2.lot-lot.com/image/32/2024/12/9a7ab13c4018b54d4373ea907935f71e.jpg
34,903,紫,紫锂辉,【紫】紫锂辉,831,https://aurayou2.lot-lot.com/image/32/2024/12/5f18afd3e19bc39a74cf5957abbb16ae.jpg
35,904,紫,紫锂云母,【紫】紫锂云母,831,https://aurayou2.lot-lot.com/image/32/2024/12/a107b57faf64f640e4768b6fa78c2ab5.jpg
36,972,紫,超七,【紫】超七,831,https://aurayou2.lot-lot.com/image/32/2025/01/e8c2c43f7f3c41d22fca09a98bf7d1c4.jpg
37,905,紫,紫龙晶,【紫】紫龙晶,831,https://aurayou2.lot-lot.com/image/32/2024/12/7571aba2e6a9b5213cb09965a0fb9ffa.jpg
38,973,紫,紫兔毛,【紫】紫兔毛,831,https://aurayou2.lot-lot.com/image/32/2025/01/6603d0bc576188cbdcc135a244b4b88d.jpg
39,974,紫,紫云母,【紫】紫云母,831,https://aurayou2.lot-lot.com/image/32/2025/01/ae5afdc19d16b63e5e1d360d2b5c9779.jpg
40,907,紫,紫幽灵,【紫】紫幽灵,831,https://aurayou2.lot-lot.com/image/32/2024/12/c3a52de99511dcd53d49f4f27efc37df.jpg
41,908,黑,闪灵,【黑】闪灵,831,https://aurayou2.lot-lot.com/image/32/2024/12/1ad0da001e380b3e504dc4da85f59e44.jpg
42,909,黑,黑发晶,【黑】黑发晶,831,https://aurayou2.lot-lot.com/image/32/2024/12/c9dbfea0ae3a9c9abd7726b113df8ac7.jpg
43,927,黑,黑曜石,【黑】黑曜石,831,https://aurayou2.lot-lot.com/image/32/2024/12/ae8f331d5fce3db8d7bc58e58c506a5b.jpg
44,912,黑,银曜石,【黑】银曜石,831,https://aurayou2.lot-lot.com/image/32/2024/12/f005074a4827808c0d94983392eac468.jpg
45,911,黑,金曜石,【黑】金曜石,831,https://aurayou2.lot-lot.com/image/32/2025/01/4f91c5bf072fe4946a8a31d4ba888ca2.jpg
46,913,黑,毒液,【黑】毒液,831,https://aurayou2.lot-lot.com/image/32/2024/12/ea02d2f5e1613ae23705b6ab9d3bb7a7.jpg
47,976,黑,黑金骨干,【黑】黑金骨干,831,https://aurayou2.lot-lot.com/image/32/2025/01/e060d88cf1834ad5ddc4bb4b1892993a.jpg
48,915,白,白水晶,【白】白水晶,831,https://aurayou2.lot-lot.com/image/32/2024/12/2a4418202358cdda9916bdaa0737f619.jpg
49,916,白,白阿塞,【白】白阿塞,831,https://aurayou2.lot-lot.com/image/32/2024/12/0f8dd9f55a07f3e289e76c38d4282a1f.jpg
50,917,白,白幽灵,【白】白幽灵,831,https://aurayou2.lot-lot.com/image/32/2024/12/ea44d73a29e9c8da89e61b7388c7e6a9.jpg
51,933,白,奶白晶,【白】奶白晶,831,https://aurayou2.lot-lot.com/image/32/2025/01/f5e401a49c6616a2761be23fe725e3cf.jpg
52,918,白,珍珠,【白】珍珠,831,https://aurayou2.lot-lot.com/image/32/2024/12/647bf10a8cbac1616d050ff09578a900.jpg
53,919,白,白月光,【白】白月光,831,https://aurayou2.lot-lot.com/image/32/2024/12/721120cc0ab1ce2f70e2245eb55a5e74.jpg
54,921,灰,鹰眼石,【灰】鹰眼石,831,https://aurayou2.lot-lot.com/image/32/2024/12/ccba4f660f07755d654fb49cc829eea7.jpg
55,922,灰,灰月光,【灰】灰月光,831,https://aurayou2.lot-lot.com/image/32/2024/12/843006483003590a192a7d49711b9c51.jpg
56,923,灰,灰兔毛,【灰】灰兔毛,831,https://aurayou2.lot-lot.com/image/32/2024/12/4430f6b9cc148530991bd3d9c8698f28.jpg
57,925,棕,茶水晶,【棕】茶水晶,831,https://aurayou2.lot-lot.com/image/32/2024/12/9218cb0b7260ef31897ebf1bd3766139.jpg
58,1526,其他,多宝,【其他】多宝,831,https://aurayou2.lot-lot.com/image/32/2025/05/7536e0feae9c25ac636b0ef2fbe22d06.jpg
59,934,其他,萤石,【其他】萤石,831,https://aurayou2.lot-lot.com/image/32/2025/01/7bf6f88fdc09f60c15fc32a186d05d80.jpg
60,929,其他,四季幽灵,【其他】四季幽灵,831,https://aurayou2.lot-lot.com/image/32/2025/01/be49c870750df9698a1683b14c445c84.jpg
61,926,其他,小树胶花,【其他】小树胶花,831,https://aurayou2.lot-lot.com/image/32/2024/12/f312d6bbf53aa81730ec60ab00ae791a.jpg
62,971,其他,檀木,【其他】檀木,831,https://aurayou2.lot-lot.com/image/32/2025/01/cf30b05d16e214eddb406a7f247b071e.jpg
63,855,,,贵气温柔精致,832,https://aurayou2.lot-lot.com/image/32/2024/12/c1a25da62cd6404989fd99e9adb6b90d.jpg
64,856,,,玉石文玩翡翠,832,https://aurayou2.lot-lot.com/image/32/2024/12/1ea3cfcb60f467db8d5ed7472680de25.jpg
65,857,,,仙气甜美可爱,832,https://aurayou2.lot-lot.com/image/32/2024/12/43e9dd237d376d5471596ee76b80b823.jpg
66,858,,,中式清冷高级,832,https://aurayou2.lot-lot.com/image/32/2024/12/33dfa64719b2b7ef046c2c40ba321fe1.jpg
67,859,,,甜酷暗黑异域,832,https://aurayou2.lot-lot.com/image/32/2024/12/2c1cdfe1350b2036c0b9c51dffd72e66.jpg
68,860,,,福利热门百搭,832,https://aurayou2.lot-lot.com/image/32/2024/12/6e3302b5b29334230aafbb2fcc75c151.jpg
69,861,,,大m（14+）,834,https://aurayou2.lot-lot.com/image/32/2024/12/895bf98020dc7361f9050cbd0e46ef09.jpg
70,862,,,常规m（10-13）,834,https://aurayou2.lot-lot.com/image/32/2024/12/9550883d0a014bfc9acd89ea8b47e553.jpg
71,863,,,小m（6-9）,834,https://aurayou2.lot-lot.com/image/32/2024/12/e4efd9c1ba200ed859fb99154864f60a.jpg
72,864,,,细珠链（5-）,834,https://aurayou2.lot-lot.com/image/32/2024/12/222c33028f341a2f473d1057e1ed18ec.jpg
73,865,,,多圈款,834,https://aurayou2.lot-lot.com/image/32/2024/12/285806e8b020fc85c99619563afa4b63.jpg
74,866,,,雕刻件款,834,https://aurayou2.lot-lot.com/image/32/2024/12/f7935941f4d4b002de851d3617d1e1ca.jpg
75,867,,,魔盒款,834,https://aurayou2.lot-lot.com/image/32/2024/12/895bf98020dc7361f9050cbd0e46ef09.jpg
76,868,,,手牌款,834,https://aurayou2.lot-lot.com/image/32/2024/12/b1408b06375fd3efcfd2ccdc4f3dbc22.jpg
77,869,,,编绳款,834,https://aurayou2.lot-lot.com/image/32/2024/12/60337ae09bec43d5f88698c27a90768b.jpg
78,870,,,男士手串,834,https://aurayou2.lot-lot.com/image/32/2024/12/c0d8480a7f53b068436c30711566d7e1.jpg
79,1206,,,五行手串,834,https://aurayou2.lot-lot.com/image/32/2025/04/49f7198d67fdf7b96aad8e038b625919.jpg
80,2058,,,星座手串,834,https://aurayou2.lot-lot.com/image/32/2025/08/612a11f8c4113d1d492fc020c71a6401.jpg
81,2171,,,生肖手串,834,https://aurayou2.lot-lot.com/image/32/2025/08/196c161ec673c7eacbd909ed96d6d0d4.jpg
